# t_sec   Poft_Rzmin  Poft_Rzmax
1.302699999999999969e+00 1.362222445807892157e-08 3.487829811625196204e-08
1.311129999999999907e+00 1.367538491530200122e-08 3.498152898826340618e-08
1.319620000000000015e+00 1.374162804023796807e-08 3.511704989232643447e-08
1.328160000000000007e+00 1.384651029682723221e-08 3.538739730488464752e-08
1.336750000000000105e+00 1.393602097288497974e-08 3.561199085008736624e-08
1.345399999999999929e+00 1.401224216436246959e-08 3.581639241906379393e-08
1.354109999999999925e+00 1.410252222242612589e-08 3.603173152246243373e-08
1.362870000000000026e+00 1.418746398562292160e-08 3.612296998967070681e-08
1.371690000000000076e+00 1.424250926993833547e-08 3.621195681462801389e-08
1.380560000000000009e+00 1.428551402626258436e-08 3.630392539965682402e-08
1.389499999999999957e+00 1.437134531706283617e-08 3.642967980488693324e-08
1.398490000000000011e+00 1.444889404653983668e-08 3.663097022929474633e-08
1.407540000000000013e+00 1.450005157427968644e-08 3.684884246410945283e-08
1.416639999999999899e+00 1.455063350446846411e-08 3.702956924335278376e-08
1.425810000000000022e+00 1.460968012827452762e-08 3.716805683347463349e-08
1.435040000000000093e+00 1.472739489916063860e-08 3.748807696682310843e-08
1.444320000000000048e+00 1.480847450514584430e-08 3.761212875940583443e-08
1.453670000000000018e+00 1.486524504780966276e-08 3.753283765237413543e-08
1.463070000000000093e+00 1.492735876606057150e-08 3.750732412604087524e-08
1.472539999999999960e+00 1.499780735809347624e-08 3.760764996878752669e-08
1.482069999999999999e+00 1.508709064195925319e-08 3.782009582455494709e-08
1.491659999999999986e+00 1.518094579622233365e-08 3.805371404278117179e-08
1.501309999999999922e+00 1.527034815097724579e-08 3.827826678598551503e-08
1.511030000000000095e+00 1.537469028018455349e-08 3.853929007377589968e-08
1.520799999999999930e+00 1.548617112799900870e-08 3.881462595337556149e-08
1.530640000000000001e+00 1.556286738879884545e-08 3.901476422221153643e-08
1.540550000000000086e+00 1.565332954675416605e-08 3.926121901401867021e-08
1.550519999999999898e+00 1.575693653827047853e-08 3.952560467466418981e-08
1.560550000000000104e+00 1.584725147500571406e-08 3.975197624646268858e-08
1.570650000000000102e+00 1.595141016244633116e-08 4.001318887173252997e-08
1.580810000000000048e+00 1.605302214014735692e-08 4.026602638925753759e-08
1.591040000000000010e+00 1.614969093374012288e-08 4.041010705812025779e-08
1.601329999999999920e+00 1.623613732783964995e-08 4.057365849757710383e-08
1.611699999999999910e+00 1.634164500155428992e-08 4.079467133391889021e-08
1.622120000000000006e+00 1.644513277377458146e-08 4.097219788438030194e-08
1.632619999999999960e+00 1.653928347355764585e-08 4.120660935738141572e-08
1.643180000000000085e+00 1.662386436300481723e-08 4.140491219497098108e-08
1.653820000000000068e+00 1.668651059631511085e-08 4.162536304137538605e-08
1.664520000000000000e+00 1.666457751480386612e-08 4.182018496486963542e-08
1.675289999999999946e+00 1.663421684074778870e-08 4.192865827902478387e-08
1.686129999999999907e+00 1.672293196716541143e-08 4.214249716757190025e-08
1.697040000000000104e+00 1.681439999452961241e-08 4.239445712185150527e-08
